"Player","Season","Team","Position","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF/60","GA/60","SF/60","SA/60","FF/60","FA/60","CF/60","CA/60","xGF/60","xGA/60","G±/60","S±/60","F±/60","C±/60","xG±/60","Sh%","Sv%"
"Andrew Cogliano","21-22","S.J","C",56,614.15,30.18,42.11,42.79,41.31,40.68,1.57,3.63,21.27,29.24,32.49,43.45,42.17,59.91,1.76,2.56,-2.06,-7.97,-10.95,-17.73,-0.81,7.38,87.58
"Andrew Copp","21-22","WPG","C",56,784.58,49.72,52.27,53.35,52.87,50.38,2.31,2.33,33.87,30.93,47.83,41.82,61.71,55,2.82,2.78,-0.03,2.94,6.01,6.71,0.04,6.82,92.45
"Andrew Ladd","21-22","ARI","L",42,483.58,37.44,41.82,43.09,43.47,42.17,1.72,2.87,22.78,31.7,33.26,43.92,44.98,58.5,1.73,2.37,-1.15,-8.92,-10.67,-13.52,-0.64,7.54,90.94
"Andrew Mangiapane","21-22","CGY","L",65,793.8,61.2,62.33,61.3,61.67,60.84,3,1.9,38.89,23.5,54.07,34.14,71.93,44.72,3.11,2,1.1,15.39,19.93,27.22,1.11,7.7,91.92
"Andrew Peeke","21-22","CBJ","D",66,1160.6,38.61,42.64,44.09,44.16,41.94,2.09,3.32,25.97,34.93,36.93,46.82,48.65,61.53,1.97,2.73,-1.23,-8.97,-9.89,-12.88,-0.76,8.05,90.49
"Andy Greene","21-22","NYI","D",53,819.9,41.49,44.89,45.2,44.57,48.27,2.13,3.01,25.59,31.41,35.74,43.33,48.44,60.24,2.34,2.51,-0.87,-5.82,-7.6,-11.8,-0.17,8.33,90.43
"Anthony Beauvillier","21-22","NYI","L",61,847.28,47.99,46.09,45.94,46.72,49.49,2.48,2.69,28.68,33.54,38.89,45.77,53.4,60.9,2.67,2.73,-0.21,-4.86,-6.88,-7.5,-0.06,8.65,91.98
"Anthony Cirelli","21-22","T.B","C",60,839.78,59.34,53.58,54.6,54.07,55.65,2.88,1.98,30.21,26.18,43.53,36.19,56.99,48.42,2.57,2.05,0.91,4.03,7.34,8.57,0.52,9.54,92.45
"Anthony Duclair","21-22","FLA","L",57,695.27,62.8,55.09,55.12,56.14,53.25,4.05,2.4,39.05,31.84,50.9,41.45,67.22,52.51,3.34,2.93,1.65,7.22,9.45,14.71,0.41,10.38,92.46
"Anthony Mantha","21-22","WSH","R",23,289.67,55.06,53.42,52.37,50.5,48.94,3.8,3.1,30.49,26.58,40.85,37.16,52.3,51.27,2.39,2.49,0.7,3.91,3.7,1.03,-0.1,12.45,88.34
"Antoine Roussel","21-22","ARI","L",47,472.93,25.71,39.51,39.38,40.84,38.77,0.97,2.82,24.07,36.85,32.59,50.15,44.7,64.77,1.98,3.12,-1.84,-12.78,-17.57,-20.06,-1.15,4.05,92.36
"Anton Blidh","21-22","BOS","L",29,277.58,44.2,41.76,38.04,37.88,40.28,2.26,2.85,20.9,29.15,26.87,43.77,35.5,58.22,1.51,2.24,-0.59,-8.25,-16.9,-22.72,-0.73,10.81,90.22
"Anton Lundell","21-22","FLA","C",52,629.63,67.11,54.09,55.33,55.86,54.62,4.5,2.2,35.56,30.18,47.82,38.61,67.31,53.19,3.04,2.52,2.29,5.38,9.21,14.12,0.51,12.65,92.7
"Anton Stralman","21-22","ARI","D",58,1013.33,43.6,41.59,41.19,41.79,39.38,2.43,3.15,24.81,34.84,34,48.55,44.06,61.36,2,3.07,-0.71,-10.03,-14.55,-17.3,-1.08,9.81,90.97
"Anze Kopitar","21-22","L.A","C",68,992,44.26,55.18,54.91,54.62,52.2,2.1,2.65,33.54,27.25,45.99,37.77,61,50.67,2.64,2.42,-0.55,6.29,8.22,10.33,0.22,6.28,90.27
"Artem Zub","21-22","OTT","D",65,1197.57,53.6,47.89,47.76,47.33,48.45,2.1,1.82,27.46,29.88,39,42.66,51.99,57.86,2.28,2.42,0.28,-2.42,-3.66,-5.87,-0.15,7.65,93.91
