,Team Name,Week Number,Home or Away,Fantasy Points,Opponent Team Name,Opponent Fantasy Points,Opponent Projected Points,Winner,Fantasy Points Rank
0,Team Ginsberg,17,Away,216.3,Lausanne  Automatons ,160.2,-1,AWAY,3.0
1,That Hoser Over There,17,Away,207.0,Brown Shoes w/ a Black Belt?,171.3,-1,AWAY,5.0
2,Carolina Tony,17,Away,253.15,HC FirePucks,246.0,-1,AWAY,1.0
3,DadKnows Best,17,Away,82.4,Baltimore Bandits,164.45,-1,HOME,10.0
4,Esther Island Esthers,17,Away,172.6,Vasili's POD SQUAD,209.0,-1,HOME,6.0
0,Team Ginsberg,18,Home,252.45,Brown Shoes w/ a Black Belt?,142.4,-1,HOME,1.0
1,That Hoser Over There,18,Home,249.15,HC FirePucks,198.3,-1,HOME,2.0
2,Carolina Tony,18,Home,180.65,Baltimore Bandits,149.6,-1,HOME,7.0
3,DadKnows Best,18,Home,97.2,Vasili's POD SQUAD,216.15,-1,AWAY,10.0
4,Esther Island Esthers,18,Home,186.0,Lausanne  Automatons ,196.1,-1,AWAY,6.0
0,Brown Shoes w/ a Black Belt?,18,Away,142.4,Team Ginsberg,252.45,-1,HOME,9.0
1,HC FirePucks,18,Away,198.3,That Hoser Over There,249.15,-1,HOME,4.0
2,Baltimore Bandits,18,Away,149.6,Carolina Tony,180.65,-1,HOME,8.0
3,Vasili's POD SQUAD,18,Away,216.15,DadKnows Best,97.2,-1,AWAY,3.0
4,Lausanne  Automatons ,18,Away,196.1,Esther Island Esthers,186.0,-1,AWAY,5.0
0,HC FirePucks,19,Home,234.25,Team Ginsberg,298.1,-1,AWAY,3.0
1,Brown Shoes w/ a Black Belt?,19,Home,226.55,Baltimore Bandits,172.1,-1,HOME,4.0
2,Esther Island Esthers,19,Home,212.95,That Hoser Over There,240.25,-1,AWAY,6.0
3,Lausanne  Automatons ,19,Home,189.95,Vasili's POD SQUAD,185.75,-1,HOME,7.0
4,DadKnows Best,19,Home,109.65,Carolina Tony,221.1,-1,AWAY,10.0
0,Team Ginsberg,19,Away,298.1,HC FirePucks,234.25,-1,AWAY,1.0
1,Baltimore Bandits,19,Away,172.1,Brown Shoes w/ a Black Belt?,226.55,-1,HOME,9.0
2,That Hoser Over There,19,Away,240.25,Esther Island Esthers,212.95,-1,AWAY,2.0
3,Vasili's POD SQUAD,19,Away,185.75,Lausanne  Automatons ,189.95,-1,HOME,8.0
4,Carolina Tony,19,Away,221.1,DadKnows Best,109.65,-1,AWAY,5.0
0,Baltimore Bandits,20,Home,222.35,That Hoser Over There,260.05,-1,AWAY,5.0
1,Vasili's POD SQUAD,20,Home,286.25,HC FirePucks,265.15,-1,HOME,1.0
2,Carolina Tony,20,Home,192.35,Team Ginsberg,273.55,-1,AWAY,9.0
3,Lausanne  Automatons ,20,Home,204.0,Brown Shoes w/ a Black Belt?,215.45,-1,AWAY,8.0
4,DadKnows Best,20,Home,101.9,Esther Island Esthers,222.0,-1,AWAY,10.0
0,That Hoser Over There,20,Away,260.05,Baltimore Bandits,222.35,-1,AWAY,4.0
1,HC FirePucks,20,Away,265.15,Vasili's POD SQUAD,286.25,-1,HOME,3.0
2,Team Ginsberg,20,Away,273.55,Carolina Tony,192.35,-1,AWAY,2.0
3,Brown Shoes w/ a Black Belt?,20,Away,215.45,Lausanne  Automatons ,204.0,-1,AWAY,7.0
4,Esther Island Esthers,20,Away,222.0,DadKnows Best,101.9,-1,AWAY,6.0
0,Vasili's POD SQUAD,21,Home,187.2,Carolina Tony,187.3,-1,HOME,8.0
1,Baltimore Bandits,21,Home,211.2,Lausanne  Automatons ,132.3,-1,HOME,3.0
2,That Hoser Over There,21,Home,256.95,DadKnows Best,40.05,-1,HOME,1.0
3,HC FirePucks,21,Home,201.3,Brown Shoes w/ a Black Belt?,189.55,-1,HOME,4.0
4,Team Ginsberg,21,Home,215.1,Esther Island Esthers,191.15,-1,HOME,2.0
0,Carolina Tony,21,Away,187.3,Vasili's POD SQUAD,187.2,-1,HOME,7.0
1,Lausanne  Automatons ,21,Away,132.3,Baltimore Bandits,211.2,-1,HOME,9.0
2,DadKnows Best,21,Away,40.05,That Hoser Over There,256.95,-1,HOME,10.0
3,Brown Shoes w/ a Black Belt?,21,Away,189.55,HC FirePucks,201.3,-1,HOME,6.0
4,Esther Island Esthers,21,Away,191.15,Team Ginsberg,215.1,-1,HOME,5.0
0,Lausanne  Automatons ,22,Home,206.5,DadKnows Best,116.0,-1,HOME,8.0
1,Brown Shoes w/ a Black Belt?,22,Home,229.45,Vasili's POD SQUAD,231.8,-1,HOME,5.0
2,Esther Island Esthers,22,Home,194.1,Carolina Tony,325.2,-1,AWAY,9.0
3,HC FirePucks,22,Home,221.5,Baltimore Bandits,237.4,-1,AWAY,6.0
4,Team Ginsberg,22,Home,219.65,That Hoser Over There,298.25,-1,AWAY,7.0
0,DadKnows Best,22,Away,116.0,Lausanne  Automatons ,206.5,-1,HOME,10.0
1,Vasili's POD SQUAD,22,Away,231.8,Brown Shoes w/ a Black Belt?,229.45,-1,HOME,4.0
2,Carolina Tony,22,Away,325.2,Esther Island Esthers,194.1,-1,AWAY,1.0
3,Baltimore Bandits,22,Away,237.4,HC FirePucks,221.5,-1,AWAY,3.0
4,That Hoser Over There,22,Away,298.25,Team Ginsberg,219.65,-1,AWAY,2.0
0,Baltimore Bandits,23,Home,233.65,Esther Island Esthers,184.4,-1,HOME,5.0
1,HC FirePucks,23,Home,194.65,Brown Shoes w/ a Black Belt?,173.65,-1,HOME,6.0
2,Carolina Tony,23,Home,249.05,That Hoser Over There,268.75,-1,AWAY,4.0
3,Lausanne  Automatons ,23,Home,185.35,Vasili's POD SQUAD,319.7,-1,AWAY,7.0
4,DadKnows Best,23,Home,108.8,Team Ginsberg,260.05,-1,AWAY,10.0
0,Esther Island Esthers,23,Away,184.4,Baltimore Bandits,233.65,-1,HOME,8.0
1,Brown Shoes w/ a Black Belt?,23,Away,173.65,HC FirePucks,194.65,-1,HOME,9.0
2,That Hoser Over There,23,Away,268.75,Carolina Tony,249.05,-1,AWAY,2.0
3,Vasili's POD SQUAD,23,Away,319.7,Lausanne  Automatons ,185.35,-1,AWAY,1.0
4,Team Ginsberg,23,Away,260.05,DadKnows Best,108.8,-1,AWAY,3.0
0,Vasili's POD SQUAD,24,Home,217.25,That Hoser Over There,251.9,-1,AWAY,6.0
1,Lausanne  Automatons ,24,Home,228.3,Team Ginsberg,285.8,-1,AWAY,4.0
2,HC FirePucks,24,Home,224.75,DadKnows Best,47.65,-1,HOME,5.0
3,Baltimore Bandits,24,Home,211.45,Carolina Tony,235.55,-1,AWAY,7.0
4,Brown Shoes w/ a Black Belt?,24,Home,174.65,Esther Island Esthers,211.1,-1,AWAY,9.0
0,That Hoser Over There,24,Away,251.9,Vasili's POD SQUAD,217.25,-1,AWAY,2.0
1,Team Ginsberg,24,Away,285.8,Lausanne  Automatons ,228.3,-1,AWAY,1.0
2,DadKnows Best,24,Away,47.65,HC FirePucks,224.75,-1,HOME,10.0
3,Carolina Tony,24,Away,235.55,Baltimore Bandits,211.45,-1,AWAY,3.0
4,Esther Island Esthers,24,Away,211.1,Brown Shoes w/ a Black Belt?,174.65,-1,AWAY,8.0
