"Player","Pos","Season","Team","GP","TOI","ATOI","G","A","Pts","SOG","BLK","HIT","PPP","SHP","W","SV","GA","FPV","FPV Adj","Pos Rank"
"Connor McDavid","F","21-22","EDM",82,1790,21.8,46,70,116,278,32,72,38,0,0,0,0,418,310,1
"Nathan MacKinnon","F","21-22","COL",82,1713,20.9,41,72,112,371,27,47,35,0,0,0,0,406,299,2
"Leon Draisaitl","F","21-22","EDM",82,1781,21.7,44,69,113,278,26,42,37,1,0,0,0,402,295,3
"Nikita Kucherov","F","21-22","T.B",82,1565,19.1,44,71,115,281,24,34,31,0,0,0,0,399,292,4
"Auston Matthews","F","21-22","TOR",82,1754,21.4,46,45,91,334,73,64,24,0,0,0,0,370,263,5
"Connor Hellebuyck","G","21-22","WPG",0,0,0,0,0,0,0,0,0,0,0,41,1899,172,412,259,1
"Brad Marchand","F","21-22","BOS",82,1509,18.4,39,64,103,223,24,80,26,3,0,0,0,361,254,7
"Jonathan Huberdeau","F","21-22","FLA",82,1502,18.3,37,69,106,205,20,57,34,0,0,0,0,362,254,6
"Juuse Saros","G","21-22","NSH",0,0,0,0,0,0,0,0,0,0,0,36,1917,159,406,254,2
"Sebastian Aho","F","21-22","CAR",82,1634,19.9,43,52,95,270,46,51,26,3,0,0,0,358,251,8
"Mark Scheifele","F","21-22","WPG",82,1685,20.5,38,66,104,204,54,31,29,0,0,0,0,356,248,9
"Mikko Rantanen","F","21-22","COL",78,1538,19.8,39,55,94,251,27,36,33,0,0,0,0,346,239,10
"Aleksander Barkov","F","21-22","FLA",82,1705,20.8,36,57,93,254,61,32,31,2,0,0,0,345,238,11
"Andrei Vasilevskiy","G","21-22","T.B",0,0,0,0,0,0,0,0,0,0,0,41,1764,169,389,236,3
"Artemi Panarin","F","21-22","NYR",82,1642,20,35,70,105,201,14,6,27,0,0,0,0,338,231,12
"Mika Zibanejad","F","21-22","NYR",82,1649,20.1,37,41,79,281,68,98,28,4,0,0,0,330,223,13
"Mitch Marner","F","21-22","TOR",82,1797,21.9,29,67,97,242,64,23,24,3,0,0,0,330,223,14
"David Pastrnak","F","21-22","BOS",76,1433,18.8,38,48,87,263,18,44,28,0,0,0,0,326,218,15
"Patrick Kane","F","21-22","CHI",82,1758,21.4,31,60,91,264,25,4,33,0,0,0,0,322,215,16
"Kyle Connor","F","21-22","WPG",82,1594,19.4,43,40,82,278,27,16,21,0,0,0,0,319,212,17
"Semyon Varlamov","G","21-22","NYI",0,0,0,0,0,0,0,0,0,0,0,30,1756,145,358,205,4
"Mark Stone","F","21-22","VGK",82,1558,19,31,56,87,197,62,40,24,1,0,0,0,308,201,18
"Andrei Svechnikov","F","21-22","CAR",82,1515,18.5,32,46,78,251,33,198,23,0,0,0,0,306,199,19
"Patrice Bergeron","F","21-22","BOS",78,1349,17.4,36,39,75,255,53,52,22,3,0,0,0,300,192,20
"Brayden Point","F","21-22","T.B",82,1561,19,35,49,84,200,29,13,25,0,0,0,0,299,192,21
"Jakob Chychrun","D","21-22","ARI",82,1908,23.3,23,39,62,264,141,76,18,0,0,0,0,265,189,1
"Elias Lindholm","F","21-22","CGY",82,1630,19.9,32,43,75,214,58,81,27,2,0,0,0,295,188,22
"John Carlson","D","21-22","WSH",82,1923,23.4,14,61,75,210,123,61,23,0,0,0,0,264,187,2
"Matthew Tkachuk","F","21-22","CGY",82,1524,18.6,32,44,75,240,16,187,22,0,0,0,0,294,187,23
"Gabriel Landeskog","F","21-22","COL",79,1558,19.7,31,43,74,228,45,123,26,0,0,0,0,290,183,24
"Alex Debrincat","F","21-22","CHI",82,1649,20.1,32,40,72,242,34,97,26,0,0,0,0,288,181,25
"Adam Fox","D","21-22","NYR",82,1892,23.1,11,58,69,196,156,30,30,2,0,0,0,256,179,3
"Jake Guentzel","F","21-22","PIT",82,1652,20.1,32,45,77,211,42,69,20,0,0,0,0,286,179,26
"Victor Hedman","D","21-22","T.B",82,1963,23.9,14,54,68,206,110,69,30,1,0,0,0,255,178,4
"Cale Makar","D","21-22","COL",82,2001,24.4,15,55,71,194,78,77,28,0,0,0,0,253,177,5
"Dougie Hamilton","D","21-22","N.J",82,1834,22.4,16,49,65,286,91,81,21,1,0,0,0,252,176,6
"Sean Couturier","F","21-22","PHI",82,1566,19.1,32,46,78,197,41,49,17,2,0,0,0,283,176,27
"Jacob Markstrom","G","21-22","CGY",0,0,0,0,0,0,0,0,0,0,0,30,1565,137,327,174,5
"Sidney Crosby","F","21-22","PIT",82,1570,19.1,28,49,77,197,32,48,29,0,0,0,0,280,173,30
"John Tavares","F","21-22","TOR",82,1505,18.4,31,45,76,234,37,56,18,0,0,0,0,280,173,29
"Max Pacioretty","F","21-22","VGK",76,1335,17.5,34,36,71,272,35,64,16,0,0,0,0,281,173,28
"David Perron","F","21-22","STL",81,1439,17.8,31,46,77,205,30,53,23,0,0,0,0,279,172,32
"Brady Tkachuk","F","21-22","OTT",82,1555,19,29,29,58,313,42,320,19,0,0,0,0,279,172,31
"Carey Price","G","21-22","MTL",0,0,0,0,0,0,0,0,0,0,0,23,1591,115,320,167,6
"Johnny Gaudreau","F","21-22","CGY",82,1531,18.7,28,51,78,212,12,0,26,0,0,0,0,272,165,33
"Roman Josi","D","21-22","NSH",82,1986,24.2,15,48,62,245,133,34,19,0,0,0,0,240,163,7
"Sam Reinhart","F","21-22","FLA",82,1623,19.8,34,34,67,219,40,26,23,0,0,0,0,268,161,34
"Ryan O'Reilly","F","21-22","STL",82,1654,20.2,27,48,75,196,52,14,21,3,0,0,0,267,160,35
"Bo Horvat","F","21-22","VAN",82,1617,19.7,30,32,62,220,72,87,26,0,0,0,0,266,159,36
"J.T. Miller","F","21-22","VAN",82,1667,20.3,23,49,72,156,45,132,27,2,0,0,0,265,158,37
"Evander Kane","F","21-22","S.J",79,1510,19.1,29,32,62,287,35,138,16,3,0,0,0,265,157,38
"Alex Ovechkin","F","21-22","WSH",79,1481,18.7,32,24,56,298,24,152,25,0,0,0,0,264,156,39
"Mathew Barzal","F","21-22","NYI",82,1588,19.4,27,47,74,221,34,23,17,0,0,0,0,263,155,40
"Philipp Grubauer","G","21-22","SEA",0,0,0,0,0,0,0,0,0,0,0,33,1369,130,308,155,7
"Tuukka Rask","G","21-22","-",0,0,0,0,0,0,0,0,0,0,0,29,1384,114,307,155,8
"Shea Theodore","D","21-22","VGK",82,1847,22.5,13,49,62,267,80,20,23,0,0,0,0,229,153,8
"Jonathan Toews","F","21-22","CHI",82,1583,19.3,26,46,72,198,45,45,19,2,0,0,0,260,153,41
"Nikolaj Ehlers","F","21-22","WPG",75,1298,17.4,34,37,71,217,19,32,11,0,0,0,0,259,152,42
"Darnell Nurse","D","21-22","EDM",82,2022,24.7,17,32,49,225,169,185,8,1,0,0,0,227,150,9
"Nicklas Backstrom","F","21-22","WSH",81,1488,18.5,22,54,77,147,43,23,26,0,0,0,0,257,150,43
"Jeff Petry","D","21-22","MTL",82,1872,22.8,15,42,57,198,105,159,15,1,0,0,0,225,149,10
"Tyson Barrie","D","21-22","EDM",82,1736,21.2,10,50,60,211,89,36,31,0,0,0,0,225,149,11
"Ryan Nugent-Hopkins","F","21-22","EDM",81,1616,20,26,38,65,205,55,32,27,2,0,0,0,256,149,44
"Anze Kopitar","F","21-22","L.A",82,1626,19.8,22,47,69,156,69,44,30,2,0,0,0,255,148,45
"Pavel Buchnevich","F","21-22","STL",82,1503,18.3,29,39,68,190,46,76,12,2,0,0,0,254,147,46
"Travis Konecny","F","21-22","PHI",81,1350,16.7,28,43,71,184,28,75,15,0,0,0,0,254,147,47
"Brock Boeser","F","21-22","VAN",82,1572,19.2,29,37,66,216,22,35,24,0,0,0,0,253,146,48
"Kris Letang","D","21-22","PIT",82,1964,24,13,44,57,187,101,118,20,0,0,0,0,221,145,12
"Jonathan Marchessault","F","21-22","VGK",82,1382,16.9,29,35,64,280,17,73,14,0,0,0,0,252,145,49
"Marc-Andre Fleury","G","21-22","CHI",0,0,0,0,0,0,0,0,0,0,0,32,1454,152,297,145,10
"Thatcher Demko","G","21-22","VAN",0,0,0,0,0,0,0,0,0,0,0,28,1634,167,298,145,9
"Kevin Fiala","F","21-22","MIN",81,1366,16.9,30,32,62,250,24,42,20,1,0,0,0,252,144,51
"Claude Giroux","F","21-22","PHI",82,1484,18.1,26,46,72,203,17,33,17,0,0,0,0,252,144,50
"Tomas Hertl","F","21-22","S.J",76,1430,18.8,30,37,67,182,51,40,14,2,0,0,0,250,143,52
"Jordan Binnington","G","21-22","STL",0,0,0,0,0,0,0,0,0,0,0,33,1492,169,294,142,12
"Igor Shesterkin","G","21-22","NYR",0,0,0,0,0,0,0,0,0,0,0,28,1494,146,294,142,13
"Ben Bishop","G","21-22","DAL",0,0,0,0,0,0,0,0,0,0,0,24,1598,146,295,142,11
"Quinn Hughes","D","21-22","VAN",82,1925,23.5,11,52,63,177,77,25,26,0,0,0,0,218,141,13
"Joe Pavelski","F","21-22","DAL",81,1436,17.8,29,32,61,189,58,76,20,0,0,0,0,247,140,53
"William Nylander","F","21-22","TOR",75,1256,16.8,30,37,67,206,21,6,17,0,0,0,0,247,140,54
"Miro Heiskanen","D","21-22","DAL",82,2033,24.8,14,39,53,217,114,76,18,0,0,0,0,215,139,14
"Tyler Toffoli","F","21-22","MTL",81,1388,17.2,32,28,60,254,19,87,12,2,0,0,0,246,139,55
"Bryan Rust","F","21-22","PIT",81,1553,19.3,30,29,59,219,47,90,18,0,0,0,0,246,139,56
"Elias Pettersson","F","21-22","VAN",78,1482,19.1,28,39,67,181,35,40,18,0,0,0,0,246,139,58
"Kirill Kaprizov","F","21-22","MIN",82,1443,17.6,30,34,63,234,25,29,17,0,0,0,0,246,139,57
"Thomas Chabot","D","21-22","OTT",82,2145,26.2,13,42,55,206,110,98,16,0,0,0,0,214,138,15
"Tristan Jarry","G","21-22","PIT",0,0,0,0,0,0,0,0,0,0,0,39,1227,148,290,138,14
"Jack Eichel","F","21-22","BUF",75,1493,20,24,39,63,217,41,41,25,0,0,0,0,245,137,59
"Neal Pionk","D","21-22","WPG",82,1842,22.5,9,45,54,171,113,212,18,0,0,0,0,213,136,16
"Steven Stamkos","F","21-22","T.B",76,1345,17.7,30,32,62,180,26,51,22,0,0,0,0,243,135,60
"Vincent Trocheck","F","21-22","CAR",75,1327,17.8,25,36,60,185,43,157,19,1,0,0,0,242,135,61
"Nick Suzuki","F","21-22","MTL",82,1526,18.6,24,38,62,186,55,105,17,2,0,0,0,240,133,62
"Dominik Kubalik","F","21-22","CHI",82,1280,15.6,28,32,60,229,23,74,16,0,0,0,0,240,133,63
"T.J. Oshie","F","21-22","WSH",78,1333,17.2,30,29,59,139,50,94,20,0,0,0,0,239,132,64
"Blake Wheeler","F","21-22","WPG",81,1431,17.8,21,48,68,162,46,84,19,0,0,0,0,239,132,66
"Timo Meier","F","21-22","S.J",82,1371,16.7,28,32,59,234,39,127,10,0,0,0,0,239,132,65
"Jakub Vrana","F","21-22","DET",79,1261,15.9,33,31,63,190,17,40,10,0,0,0,0,238,131,67
"Ivan Provorov","D","21-22","PHI",82,2005,24.5,14,31,45,193,166,86,16,1,0,0,0,206,130,17
"Drew Doughty","D","21-22","L.A",82,2117,25.8,10,38,48,153,137,126,25,1,0,0,0,204,128,18
"Charlie McAvoy","D","21-22","BOS",82,1972,24.2,12,39,51,187,131,118,11,1,0,0,0,203,126,19
"Joel Farabee","F","21-22","PHI",82,1368,16.7,29,31,60,189,41,72,11,2,0,0,0,233,126,68
"Brent Burns","D","21-22","S.J",82,2062,25.1,10,38,49,228,145,46,15,1,0,0,0,201,125,20
"Zach Werenski","D","21-22","CBJ",82,1964,24,16,36,52,196,88,48,12,0,0,0,0,201,124,21
"Ryan Strome","F","21-22","NYR",82,1495,18.2,21,42,64,188,34,30,22,2,0,0,0,232,124,69
"Josh Norris","F","21-22","OTT",82,1468,17.9,27,33,59,168,42,85,17,0,0,0,0,231,124,70
"Roope Hintz","F","21-22","DAL",76,1390,18.3,23,37,60,169,34,84,23,1,0,0,0,230,123,71
"John Klingberg","D","21-22","DAL",82,1835,22.4,11,42,53,149,83,55,25,0,0,0,0,198,122,22
"Mike Hoffman","F","21-22","MTL",76,1172,15.4,29,30,59,185,18,32,20,0,0,0,0,229,122,72
"Mackenzie Blackwood","G","21-22","N.J",0,0,0,0,0,0,0,0,0,0,0,25,1548,158,275,122,15
"Jason Robertson","F","21-22","DAL",78,1355,17.5,26,38,64,203,19,31,10,0,0,0,0,228,121,73
"Brock Nelson","F","21-22","NYI",82,1460,17.8,30,26,56,183,51,42,12,1,0,0,0,227,120,74
"Jared Spurgeon","D","21-22","MIN",82,1791,21.8,12,35,47,158,164,69,14,0,0,0,0,195,119,23
"Aaron Ekblad","D","21-22","FLA",80,1941,24.2,14,31,46,209,91,46,19,1,0,0,0,195,118,25
"Morgan Rielly","D","21-22","TOR",82,1944,23.7,11,41,52,160,97,78,17,0,0,0,0,195,118,24
"Devon Toews","D","21-22","COL",82,1906,23.2,14,37,51,165,126,57,7,1,0,0,0,193,117,26
"Andre Burakovsky","F","21-22","COL",78,1220,15.7,26,37,62,164,26,19,15,0,0,0,0,223,116,75
"Chris Kreider","F","21-22","NYR",78,1281,16.5,25,25,50,180,49,160,21,0,0,0,0,223,116,77
"Drake Batherson","F","21-22","OTT",81,1345,16.7,25,29,53,189,34,133,19,0,0,0,0,223,116,76
"Mark Giordano","D","21-22","SEA",82,1829,22.3,10,35,45,196,172,55,11,1,0,0,0,191,115,27
"Ondrej Palat","F","21-22","T.B",81,1355,16.8,19,39,58,150,57,131,22,0,0,0,0,222,115,78
"Rasmus Dahlin","D","21-22","BUF",82,1769,21.6,11,36,47,180,84,132,19,0,0,0,0,190,114,29
"Torey Krug","D","21-22","STL",79,1731,22,8,47,55,141,78,59,23,0,0,0,0,191,114,28
"James Van Riemsdyk","F","21-22","PHI",76,1235,16.2,25,34,59,196,21,37,15,0,0,0,0,221,113,79
"Oliver Bjorkstrand","F","21-22","CBJ",76,1302,17.1,27,33,59,197,35,44,8,0,0,0,0,220,113,80
"Alex Nedeljkovic","G","21-22","DET",0,0,0,0,0,0,0,0,0,0,0,29,1248,131,265,113,16
"Samuel Girard","D","21-22","COL",82,1932,23.6,11,40,51,158,104,50,15,0,0,0,0,189,112,30
"Clayton Keller","F","21-22","ARI",82,1410,17.2,23,35,58,215,20,23,19,0,0,0,0,218,111,81
"Seth Jones","D","21-22","CHI",82,2021,24.7,9,32,41,188,163,130,12,1,0,0,0,186,110,31
"Filip Forsberg","F","21-22","NSH",76,1351,17.7,24,29,53,211,24,83,18,0,0,0,0,218,110,82
"William Karlsson","F","21-22","VGK",82,1526,18.6,21,38,58,170,49,30,16,3,0,0,0,215,108,84
"Martin Necas","F","21-22","CAR",82,1462,17.8,22,35,57,177,45,64,14,2,0,0,0,215,108,85
"Joel Eriksson Ek","F","21-22","MIN",82,1404,17.1,24,28,51,186,67,161,5,2,0,0,0,215,108,83
"Tom Wilson","F","21-22","WSH",72,1189,16.6,24,27,52,132,56,199,8,2,0,0,0,213,106,86
"Mikhail Sergachev","D","21-22","T.B",82,1823,22.2,10,35,45,154,114,106,14,0,0,0,0,181,105,32
"Chris Driedger","G","21-22","SEA",0,0,0,0,0,0,0,0,0,0,0,25,1196,105,258,105,17
"Phil Kessel","F","21-22","ARI",79,1317,16.6,24,36,60,152,12,0,18,0,0,0,0,211,103,87
"Conor Garland","F","21-22","VAN",79,1388,17.5,24,31,54,206,28,37,14,0,0,0,0,210,103,88
"Cam Talbot","G","21-22","MIN",0,0,0,0,0,0,0,0,0,0,0,23,1323,127,253,101,18
"Oscar Klefbom","D","21-22","EDM",77,1898,24.6,7,30,36,193,167,43,22,1,0,0,0,176,100,33
"Pavel Zacha","F","21-22","N.J",79,1391,17.6,24,28,52,158,24,59,15,3,0,0,0,206,99,89
"Alex Stalock","G","21-22","EDM",0,0,0,0,0,0,0,0,0,0,0,21,1146,81,251,99,19
"MacKenzie Weegar","D","21-22","FLA",82,1797,22,10,34,44,138,123,154,2,2,0,0,0,174,98,34
"Anthony Beauvillier","F","21-22","NYI",82,1383,16.9,24,28,53,184,34,76,7,1,0,0,0,204,97,90
"Patrik Laine","F","21-22","CBJ",81,1412,17.5,26,23,49,191,33,71,12,0,0,0,0,204,97,91
"Alex Pietrangelo","D","21-22","VGK",79,1833,23.3,11,30,41,206,122,38,10,0,0,0,0,173,96,35
"Yanni Gourde","F","21-22","SEA",82,1375,16.8,24,30,54,160,32,75,7,2,0,0,0,203,96,93
"Alex Tuch","F","21-22","VGK",82,1360,16.6,25,24,49,201,48,76,9,0,0,0,0,203,96,92
"Elvis Merzlikins","G","21-22","CBJ",0,0,0,0,0,0,0,0,0,0,0,16,1268,87,249,96,20
"Blake Coleman","F","21-22","CGY",82,1278,15.6,25,22,47,184,43,185,0,3,0,0,0,201,94,95
"Pierre-Luc Dubois","F","21-22","WPG",76,1214,15.9,23,28,51,160,50,97,11,0,0,0,0,201,94,94
"Mike Smith","G","21-22","EDM",0,0,0,0,0,0,0,0,0,0,0,27,1260,139,246,94,21
"Tomas Tatar","F","21-22","N.J",72,1068,14.9,21,35,56,153,23,84,9,0,0,0,0,200,93,96
"Sean Monahan","F","21-22","CGY",79,1379,17.4,21,29,50,168,27,67,19,0,0,0,0,199,92,97
"Jamie Benn","F","21-22","DAL",79,1370,17.3,20,28,48,184,56,132,12,0,0,0,0,199,92,98
"Filip Hronek","D","21-22","DET",82,1946,23.7,10,30,39,169,90,103,15,1,0,0,0,167,91,36
"Alex Killorn","F","21-22","T.B",82,1394,17,23,28,51,172,20,74,12,1,0,0,0,199,91,99
"Jack Hughes","F","21-22","N.J",82,1531,18.7,20,32,52,225,28,15,14,0,0,0,0,198,91,100
"Andrew Copp","F","21-22","WPG",82,1477,18,20,30,50,154,57,88,11,3,0,0,0,197,90,102
"Brayden Schenn","F","21-22","STL",82,1479,18,21,27,48,131,39,151,16,0,0,0,0,198,90,101
"Max Comtois","F","21-22","ANA",82,1368,16.7,23,26,49,155,49,134,7,0,0,0,0,196,89,103
"Ryan Pulock","D","21-22","NYI",82,1804,22,8,26,33,188,171,137,6,0,0,0,0,164,88,37
"Adin Hill","G","21-22","S.J",0,0,0,0,0,0,0,0,0,0,0,18,1277,106,240,88,22
"Jake Muzzin","D","21-22","TOR",80,1686,21,8,33,40,145,147,138,2,1,0,0,0,163,87,38
"Jared McCann","F","21-22","SEA",75,1124,15.1,20,31,51,173,26,69,14,0,0,0,0,194,87,104
"Dylan Larkin","F","21-22","DET",79,1590,20.1,20,25,45,230,41,58,16,0,0,0,0,194,87,105
"Adrian Kempe","F","21-22","L.A",82,1379,16.8,20,25,45,178,33,78,19,3,0,0,0,192,85,108
"Kevin Hayes","F","21-22","PHI",82,1406,17.1,22,24,47,183,27,80,11,3,0,0,0,192,85,106
"Jakub Voracek","F","21-22","CBJ",81,1336,16.6,15,47,62,136,22,7,11,0,0,0,0,192,85,107
"Logan Couture","F","21-22","S.J",79,1430,18.1,20,27,47,161,58,63,12,2,0,0,0,192,84,109
"Nino Niederreiter","F","21-22","CAR",82,1303,15.9,24,24,48,178,22,91,8,0,0,0,0,191,84,110
"Carter Verhaeghe","F","21-22","FLA",79,1310,16.5,23,28,52,161,27,59,4,0,0,0,0,190,83,111
"Kaapo Kahkonen","G","21-22","MIN",0,0,0,0,0,0,0,0,0,0,0,18,990,52,236,83,23
"Christian Dvorak","F","21-22","ARI",82,1453,17.7,22,22,44,141,66,62,16,1,0,0,0,189,82,112
"Zach Hyman","F","21-22","EDM",76,1396,18.3,24,24,47,147,39,108,5,2,0,0,0,189,82,114
"Denis Gurianov","F","21-22","DAL",82,1307,15.9,22,24,46,187,20,92,13,0,0,0,0,189,82,113
"Vince Dunn","D","21-22","SEA",79,1567,19.9,12,27,39,164,80,68,9,0,0,0,0,158,81,39
"Justin Faulk","D","21-22","STL",82,1899,23.2,9,24,33,173,125,176,4,1,0,0,0,157,81,40
"Cam Atkinson","F","21-22","PHI",81,1423,17.6,22,23,45,218,38,12,10,3,0,0,0,188,81,115
"Brendan Gallagher","F","21-22","MTL",72,1102,15.4,25,20,45,213,19,80,6,0,0,0,0,188,81,116
"Anthony Cirelli","F","21-22","T.B",79,1409,17.8,21,24,46,141,57,109,6,3,0,0,0,187,80,117
"Jordan Staal","F","21-22","CAR",79,1385,17.5,18,29,46,126,35,185,14,1,0,0,0,187,80,118
"Andrew Mangiapane","F","21-22","CGY",81,1292,16,22,26,47,153,44,77,7,1,0,0,0,187,79,119
"Jack Roslovic","F","21-22","CBJ",79,1351,17.1,21,30,51,138,28,49,10,0,0,0,0,186,79,120
"Damon Severson","D","21-22","N.J",82,1833,22.4,9,30,39,148,92,80,8,1,0,0,0,154,77,41
"Anthony Duclair","F","21-22","FLA",76,1226,16.1,22,26,49,157,32,51,6,1,0,0,0,184,77,122
"Rasmus Ristolainen","D","21-22","PHI",82,1834,22.5,6,23,29,124,123,302,9,1,0,0,0,153,77,42
"Taylor Hall","F","21-22","BOS",78,1360,17.5,16,33,49,201,26,44,14,0,0,0,0,185,77,121
"Jake Oettinger","G","21-22","DAL",0,0,0,0,0,0,0,0,0,0,0,21,1114,100,227,74,24
"Alex Iafallo","F","21-22","L.A",82,1524,18.6,18,25,43,162,68,45,15,2,0,0,0,180,73,123
"Jesper Bratt","F","21-22","N.J",76,1214,15.9,17,33,50,160,29,41,11,0,0,0,0,180,73,125
"Nick Schmaltz","F","21-22","ARI",78,1298,16.7,17,33,50,151,39,13,14,0,0,0,0,180,73,124
"Robin Lehner","G","21-22","VGK",0,0,0,0,0,0,0,0,0,0,0,22,1110,107,225,73,25
"Evgeni Malkin","F","21-22","PIT",64,1105,17.2,17,34,51,143,15,17,18,0,0,0,0,180,72,126
"Evgeny Kuznetsov","F","21-22","WSH",72,1205,16.8,19,33,52,139,20,24,11,0,0,0,0,179,72,127
"Anthony Mantha","F","21-22","WSH",79,1415,17.9,20,24,44,190,35,65,9,0,0,0,0,179,72,128
"Brett Pesce","D","21-22","CAR",82,1867,22.8,9,28,37,136,138,17,4,1,0,0,0,148,71,43
"Keith Yandle","D","21-22","PHI",79,1317,16.7,6,37,43,137,23,8,24,0,0,0,0,147,70,44
"Ilya Samsonov","G","21-22","WSH",0,0,0,0,0,0,0,0,0,0,0,25,953,92,222,70,26
"Jean-Gabriel Pageau","F","21-22","NYI",76,1266,16.6,19,19,38,137,76,153,9,4,0,0,0,177,69,129
"Alec Martinez","D","21-22","VGK",79,1692,21.5,9,25,34,98,161,41,8,1,0,0,0,145,68,45
"Chandler Stephenson","F","21-22","VGK",72,1241,17.3,19,28,47,118,47,50,8,3,0,0,0,176,68,130
"Ilya Sorokin","G","21-22","NYI",0,0,0,0,0,0,0,0,0,0,0,19,1141,103,221,68,27
"Jonas Brodin","D","21-22","MIN",82,1788,21.8,9,25,34,118,156,44,3,1,0,0,0,143,67,49
"Shea Weber","D","21-22","MTL",70,1494,21.4,9,20,29,156,119,102,10,1,0,0,0,144,67,48
"Reilly Smith","F","21-22","VGK",78,1314,16.9,20,22,42,175,30,47,11,3,0,0,0,174,67,131
"Connor Brown","F","21-22","OTT",82,1484,18.1,20,24,44,160,46,20,6,3,0,0,0,174,67,132
"Esa Lindell","D","21-22","DAL",82,1855,22.6,7,21,28,136,173,145,4,1,0,0,0,144,67,47
"Rasmus Andersson","D","21-22","CGY",82,1758,21.4,9,23,32,147,113,70,12,0,0,0,0,144,67,46
"Martin Jones","G","21-22","PHI",0,0,0,0,0,0,0,0,0,0,0,20,1164,112,219,67,28
"Patric Hornqvist","F","21-22","FLA",67,1037,15.5,16,21,37,200,31,111,19,0,0,0,0,174,66,133
"Calvin Petersen","G","21-22","L.A",0,0,0,0,0,0,0,0,0,0,0,20,1376,157,218,66,29
"Shayne Gostisbehere","D","21-22","ARI",74,1470,19.8,11,24,35,152,62,14,14,0,0,0,0,142,65,50
"Matt Dumba","D","21-22","MIN",80,1753,21.9,9,19,28,155,107,104,11,1,0,0,0,141,65,51
"Mattias Ekholm","D","21-22","NSH",80,1788,22.3,9,28,37,141,96,23,5,1,0,0,0,140,64,52
"Nils Hoglander","F","21-22","VAN",82,1302,15.9,20,25,45,181,28,35,5,0,0,0,0,171,64,134
"Kevin Labanc","F","21-22","S.J",82,1347,16.4,17,27,43,184,23,82,10,0,0,0,0,171,64,135
"Ryan Ellis","D","21-22","PHI",74,1715,23.1,7,28,35,129,114,30,8,1,0,0,0,139,63,55
"Oliver Ekman-Larsson","D","21-22","VAN",79,1662,21.1,8,26,34,118,62,120,14,0,0,0,0,140,63,53
"Jacob Trouba","D","21-22","NYR",82,1690,20.7,6,21,26,135,145,195,6,1,0,0,0,140,63,54
"Jordan Eberle","F","21-22","SEA",79,1274,16.1,20,24,44,172,31,31,8,0,0,0,0,170,63,136
"Sergei Bobrovsky","G","21-22","FLA",0,0,0,0,0,0,0,0,0,0,0,22,1117,120,215,63,30
"Travis Sanheim","D","21-22","PHI",82,1751,21.4,7,23,31,154,134,76,4,1,0,0,0,139,62,57
"Josh Morrissey","D","21-22","WPG",80,1849,23.1,6,23,29,139,124,96,14,0,0,0,0,139,62,56
"Victor Olofsson","F","21-22","BUF",78,1341,17.3,19,24,43,166,17,10,16,0,0,0,0,169,62,138
"Gustav Nyquist","F","21-22","CBJ",82,1404,17.1,18,27,45,160,26,30,10,0,0,0,0,169,62,137
"Cam Fowler","D","21-22","ANA",80,1695,21.2,8,30,38,123,76,26,8,1,0,0,0,137,61,58
"Erik Karlsson","D","21-22","S.J",77,1769,22.9,9,24,33,129,94,16,12,0,0,0,0,137,61,59
"Nicolas Hague","D","21-22","VGK",74,1354,18.2,9,24,34,135,73,139,2,0,0,0,0,137,61,60
"Jordan Greenway","F","21-22","MIN",82,1315,16,17,30,47,111,53,125,2,1,0,0,0,168,61,139
"Mikael Granlund","F","21-22","NSH",76,1367,18,18,21,39,132,67,52,11,2,0,0,0,167,60,141
"Joonas Donskoi","F","21-22","SEA",78,1153,14.9,21,22,43,124,43,7,10,1,0,0,0,168,60,140
"Dmitry Orlov","D","21-22","WSH",80,1564,19.5,9,26,35,116,83,123,1,0,0,0,0,134,58,61
"John Gibson","G","21-22","ANA",0,0,0,0,0,0,0,0,0,0,0,22,1278,156,211,58,31
"Evgeny Dadonov","F","21-22","VGK",79,1154,14.6,21,20,40,152,32,32,9,0,0,0,0,164,57,144
"Jordan Kyrou","F","21-22","STL",82,1271,15.5,19,28,47,150,20,15,4,0,0,0,0,164,57,143
"Vitek Vanecek","G","21-22","WSH",0,0,0,0,0,0,0,0,0,0,0,24,1073,124,209,57,32
"Frank Vatrano","F","21-22","FLA",82,1212,14.8,21,14,34,214,40,107,4,0,0,0,0,165,57,142
"Jaccob Slavin","D","21-22","CAR",82,1830,22.4,6,25,31,152,146,40,1,1,0,0,0,131,55,62
"Erik Cernak","D","21-22","T.B",74,1495,20.2,8,20,28,140,88,184,1,1,0,0,0,131,54,63
"Mikael Backlund","F","21-22","CGY",82,1380,16.8,14,28,42,186,28,51,6,3,0,0,0,162,54,145
"Tim Stützle","F","21-22","OTT",81,1305,16.2,18,20,38,159,27,61,12,0,0,0,0,160,53,147
"Jaden Schwartz","F","21-22","SEA",75,1238,16.6,16,24,41,165,39,59,8,0,0,0,0,161,53,146
"Dustin Brown","F","21-22","L.A",73,1174,16.1,18,18,36,164,12,125,12,0,0,0,0,160,53,150
"Nazem Kadri","F","21-22","COL",76,1221,16,15,23,38,204,19,50,15,0,0,0,0,160,53,149
"Rickard Rakell","F","21-22","ANA",76,1307,17.2,13,26,39,212,26,88,9,0,0,0,0,160,53,148
"Calle Jarnkrok","F","21-22","SEA",75,1202,16.1,18,22,41,138,30,29,9,2,0,0,0,159,52,151
